year,class_code,class_label,pixel_count,percent_of_valid_area
2001,1,Evergreen needleleaf forest,24332,1.6621433397113041
2001,2,Evergreen broadleaf forest,140820,9.619555527623945
2001,3,Deciduous needleleaf forest,2,0.00013662200720954333
2001,4,Deciduous broadleaf forest,6166,0.42120564822702206
2001,5,Mixed forest,96141,6.567488197566353
2001,6,Closed shrubland,194,0.013252334699325703
2001,7,Open shrubland,38,0.002595818136981323
2001,8,Woody savanna,483282,33.013478444121255
2001,9,Savanna,401386,27.41908049290488
2001,10,Grassland,36344,2.482695115011821
2001,11,Permanent wetland,14142,0.9660542129786808
2001,12,Cropland,76716,5.240546952543663
2001,13,Urban and built-up,34322,2.344570265722973
2001,14,Cropland/natural mosaic,130634,8.92373964490574
2001,15,Snow and ice,117,0.007992387421758285
2001,16,Barren or sparse vegetation,1513,0.10335454845401952
2001,17,Water,17744,1.2121104479630684
2002,1,Evergreen needleleaf forest,28206,1.9267801676761895
2002,2,Evergreen broadleaf forest,167773,11.460742007783356
2002,3,Deciduous needleleaf forest,0,0.0
2002,4,Deciduous broadleaf forest,4718,0.3222913150073127
2002,5,Mixed forest,83570,5.708750571250768
2002,6,Closed shrubland,106,0.007240966382105796
2002,7,Open shrubland,26,0.001776086093724063
2002,8,Woody savanna,458947,31.351130171399138
2002,9,Savanna,443096,30.268332453259905
2002,10,Grassland,37825,2.583863711350488
2002,11,Permanent wetland,9522,0.6504573763246357
2002,12,Cropland,76120,5.199833594395219
2002,13,Urban and built-up,34282,2.341837825578782
2002,14,Cropland/natural mosaic,100557,6.869149589485024
2002,15,Snow and ice,75,0.005123325270357875
2002,16,Barren or sparse vegetation,1371,0.09365438594214194
2002,17,Water,17699,1.2090364528008537
2003,1,Evergreen needleleaf forest,25927,1.771099390460915
2003,2,Evergreen broadleaf forest,156827,10.713009762325525
2003,3,Deciduous needleleaf forest,0,0.0
2003,4,Deciduous broadleaf forest,5953,0.40665540445920567
2003,5,Mixed forest,84729,5.787923024428698
2003,6,Closed shrubland,71,0.0048500812559387875
2003,7,Open shrubland,19,0.0012979090684906616
2003,8,Woody savanna,458204,31.300375095720796
2003,9,Savanna,447469,30.56705647202357
2003,10,Grassland,38586,2.6358483850937193
2003,11,Permanent wetland,7818,0.5340554261821049
2003,12,Cropland,92264,6.302646436590653
2003,13,Urban and built-up,34620,2.364926944797195
2003,14,Cropland/natural mosaic,92249,6.301621771536581
2003,15,Snow and ice,64,0.0043719042307053865
2003,16,Barren or sparse vegetation,1390,0.09495229501063261
2003,17,Water,17703,1.2093096968152728
2004,1,Evergreen needleleaf forest,25998,1.7759494717168536
2004,2,Evergreen broadleaf forest,152317,10.404927136068006
2004,3,Deciduous needleleaf forest,1,6.831100360477166e-05
2004,4,Deciduous broadleaf forest,6925,0.47305369996304375
2004,5,Mixed forest,90210,6.1623356351864516
2004,6,Closed shrubland,54,0.0036887941946576698
2004,7,Open shrubland,9,0.0006147990324429449
2004,8,Woody savanna,464392,31.72308358602712
2004,9,Savanna,428570,29.27604681489699
2004,10,Grassland,42121,2.8773277828365873
2004,11,Permanent wetland,7044,0.4811827093920116
2004,12,Cropland,102792,7.021824682541689
2004,13,Urban and built-up,35080,2.39635000645539
2004,14,Cropland/natural mosaic,89277,6.098601468823199
2004,15,Snow and ice,62,0.004235282223495843
2004,16,Barren or sparse vegetation,1424,0.09727486913319484
2004,17,Water,17617,1.2034349505052624
2005,1,Evergreen needleleaf forest,26034,1.7784086678466253
2005,2,Evergreen broadleaf forest,149896,10.239546196340854
2005,3,Deciduous needleleaf forest,1,6.831100360477166e-05
2005,4,Deciduous broadleaf forest,8400,0.573812430280082
2005,5,Mixed forest,91869,6.275663590166768
2005,6,Closed shrubland,49,0.0033472391766338114
2005,7,Open shrubland,5,0.0003415550180238583
2005,8,Woody savanna,470870,32.16560226737883
2005,9,Savanna,414976,28.347427031893723
2005,10,Grassland,43003,2.9375780880159956
2005,11,Permanent wetland,6462,0.44142570529403446
2005,12,Cropland,106339,7.264123812327814
2005,13,Urban and built-up,35532,2.4272265800847466
2005,14,Cropland/natural mosaic,91371,6.241644710371592
2005,15,Snow and ice,50,0.003415550180238583
2005,16,Barren or sparse vegetation,1401,0.09570371605028509
2005,17,Water,17635,1.2046645485701482
2006,1,Evergreen needleleaf forest,25854,1.7661126871977666
2006,2,Evergreen broadleaf forest,148525,10.14589181039871
2006,3,Deciduous needleleaf forest,0,0.0
2006,4,Deciduous broadleaf forest,9041,0.6175997835907405
2006,5,Mixed forest,91334,6.239117203238215
2006,6,Closed shrubland,42,0.00286906215140041
2006,7,Open shrubland,4,0.00027324401441908665
2006,8,Woody savanna,475328,32.470132721448905
2006,9,Savanna,411253,28.09310516547316
2006,10,Grassland,41218,2.8156429465814785
2006,11,Permanent wetland,6046,0.41300832779444946
2006,12,Cropland,107371,7.334620768047938
2006,13,Urban and built-up,36093,2.4655490531070234
2006,14,Cropland/natural mosaic,92729,6.334411053266871
2006,15,Snow and ice,46,0.0031423061658194962
2006,16,Barren or sparse vegetation,1348,0.0920832328592322
2006,17,Water,17661,1.2064406346638723
2007,1,Evergreen needleleaf forest,26637,1.8196002030203027
2007,2,Evergreen broadleaf forest,145911,9.967326846975837
2007,3,Deciduous needleleaf forest,0,0.0
2007,4,Deciduous broadleaf forest,10161,0.6941081076280848
2007,5,Mixed forest,90151,6.15830528597377
2007,6,Closed shrubland,35,0.002390885126167008
2007,7,Open shrubland,5,0.0003415550180238583
2007,8,Woody savanna,473483,32.3440989197981
2007,9,Savanna,423802,28.950339949709438
2007,10,Grassland,37883,2.5878257495595647
2007,11,Permanent wetland,5860,0.40030248112396194
2007,12,Cropland,104165,7.11561569049104
2007,13,Urban and built-up,36483,2.4921903445128843
2007,14,Cropland/natural mosaic,90221,6.163087056226104
2007,15,Snow and ice,49,0.0033472391766338114
2007,16,Barren or sparse vegetation,1375,0.09392762995656104
2007,17,Water,17672,1.2071920557035247
2008,1,Evergreen needleleaf forest,26190,1.7890651844089698
2008,2,Evergreen broadleaf forest,141509,9.666621809107633
2008,3,Deciduous needleleaf forest,0,0.0
2008,4,Deciduous broadleaf forest,10839,0.74042296807212
2008,5,Mixed forest,90770,6.200589797205123
2008,6,Closed shrubland,48,0.00327892817302904
2008,7,Open shrubland,6,0.00040986602162863
2008,8,Woody savanna,477993,32.65218154605562
2008,9,Savanna,427521,29.204388572115587
2008,10,Grassland,35734,2.4410254028129104
2008,11,Permanent wetland,5888,0.4022151892248955
2008,12,Cropland,101702,6.9473656886124875
2008,13,Urban and built-up,36867,2.5184217698971167
2008,14,Cropland/natural mosaic,89701,6.1275653343516225
2008,15,Snow and ice,46,0.0031423061658194962
2008,16,Barren or sparse vegetation,1367,0.09338114192772286
2008,17,Water,17712,1.2099244958477156
2009,1,Evergreen needleleaf forest,25796,1.7621506489886898
2009,2,Evergreen broadleaf forest,140502,9.597832628477628
2009,3,Deciduous needleleaf forest,1,6.831100360477166e-05
2009,4,Deciduous broadleaf forest,10455,0.7141915426878878
2009,5,Mixed forest,91228,6.231876236856109
2009,6,Closed shrubland,65,0.004440215234310158
2009,7,Open shrubland,6,0.00040986602162863
2009,8,Woody savanna,468703,32.01757232256729
2009,9,Savanna,437745,29.90280027297077
2009,10,Grassland,34354,2.3467562178383257
2009,11,Permanent wetland,6179,0.4220936912738841
2009,12,Cropland,97955,6.691404358105408
2009,13,Urban and built-up,37420,2.5561977548905555
2009,14,Cropland/natural mosaic,94439,6.451222869431031
2009,15,Snow and ice,43,0.0029373731550051815
2009,16,Barren or sparse vegetation,1310,0.08948741472225087
2009,17,Water,17692,1.2085582757756201
2010,1,Evergreen needleleaf forest,26264,1.794120198675723
2010,2,Evergreen broadleaf forest,145011,9.905846943731543
2010,3,Deciduous needleleaf forest,0,0.0
2010,4,Deciduous broadleaf forest,10657,0.7279903654160516
2010,5,Mixed forest,94097,6.427860506198199
2010,6,Closed shrubland,57,0.0038937272054719845
2010,7,Open shrubland,5,0.0003415550180238583
2010,8,Woody savanna,466522,31.868586023705284
2010,9,Savanna,437997,29.920014645879174
2010,10,Grassland,32244,2.2026200002322573
