variable,variable_label,lag_months_climate_leads_ndvi,n_months,effective_n,pearson_r,p_autocorrelation_adjusted,ci95_low,ci95_high,p_FDR_BH,significant_FDR_0p05
PPT,Precipitation,0,300,238.826731403213,0.22442516185059802,0.00047448926479441565,0.10034034630806664,0.3416356426971568,0.002875234118407063,True
PPT,Precipitation,1,299,237.99834957816492,0.21766993990919398,0.0007222590454068295,0.09308186631534514,0.33554661249004963,0.002875234118407063,True
PPT,Precipitation,2,298,237.1842666339648,0.15470438895383468,0.017109097794092823,0.027870614871823556,0.2766358190328826,0.04491138170949366,True
PPT,Precipitation,3,297,236.36856174363223,0.1412485559752533,0.029932764591841896,0.013895991884983696,0.26409165778929794,0.052382338035723314,False
PPT,Precipitation,4,296,235.1169146368451,0.148681317081567,0.022587108256089426,0.02114062881466387,0.2714602478262795,0.04550226535763468,True
PPT,Precipitation,5,295,234.15674317352656,0.12007652653868793,0.06661809766832598,-0.008255941245414114,0.24451768196281742,0.1076138500796035,False
PPT,Precipitation,6,294,233.16332198289993,0.07465697628420806,0.25618797494596274,-0.054342975573036106,0.20120574784706485,0.35866316492434785,False
Temp,Temperature,0,300,295.4484963543485,-0.008551684097424284,0.8836283849943882,-0.1225452102225303,0.10566454263594746,0.8836283849943882,False
Temp,Temperature,1,299,291.0085956319086,0.08384144915416461,0.1536933926926084,-0.03144328224493487,0.19692466220887284,0.2305400890389126,False
Temp,Temperature,2,298,288.11072078460717,0.03078671742356353,0.6027708969871306,-0.08507523634925507,0.14582719171263675,0.7445993433370437,False
Temp,Temperature,3,297,288.3179322508622,-0.056486522002592604,0.3392067970693249,-0.17088912446181886,0.059418884517502615,0.4452089211534889,False
Temp,Temperature,4,296,287.0869652983226,-0.01268608377537761,0.8305320247165402,-0.12826316703653176,0.10323097414752383,0.8720586259523673,False
Temp,Temperature,5,295,286.1850659696008,0.017686513395880194,0.7657667780216968,-0.09846340556749833,0.13336102632729763,0.8720586259523673,False
Temp,Temperature,6,294,285.24593001610054,0.014205617019996121,0.8111983141671787,-0.10210183594677895,0.13012992793981676,0.8720586259523673,False
Sradi,Solar radiation,0,300,267.5720946591102,-0.2410881243246521,6.773873179529691e-05,-0.35086358289533964,-0.1247762262200347,0.0009127306715720545,True
Sradi,Solar radiation,1,299,266.6760803514844,-0.23797488307670847,8.692673062590995e-05,-0.34814386076858134,-0.1213220296335069,0.0009127306715720545,True
Sradi,Solar radiation,2,298,265.771193510557,-0.14203915315681936,0.020534574644673426,-0.25795602721245237,-0.022091125183685546,0.04550226535763468,True
Sradi,Solar radiation,3,297,264.88501425470685,-0.207483085279489,0.0006789822422590251,-0.32000757593959916,-0.089186375367014,0.002875234118407063,True
Sradi,Solar radiation,4,296,263.8315135714846,-0.2047497431921778,0.0008214954624020181,-0.3176626546663148,-0.0861112179805483,0.002875234118407063,True
Sradi,Solar radiation,5,295,262.93058033161805,-0.15832831193422117,0.01013111529306118,-0.2740540308920739,-0.03808286047919054,0.030393345879183544,True
Sradi,Solar radiation,6,294,261.9167663364887,-0.1396154532893106,0.02383451994923721,-0.2564842264878178,-0.018723126628217363,0.04550226535763468,True
