year,season,variable,value,n_monthly_images,expected_monthly_images,is_complete_season
2001,Annual,PPT,1831.8346545368427,12,12,True
2001,Annual,Temp,16.908314887920767,12,12,True
2001,Annual,Sradi,4927.098037946074,12,12,True
2001,Dry,PPT,249.9791202868538,3,3,True
2001,Dry,Temp,10.914258483639923,3,3,True
2001,Dry,Sradi,1023.9026697675084,3,3,True
2001,Wet,PPT,1352.628447819261,6,6,True
2001,Wet,Temp,21.664776088909658,6,6,True
2001,Wet,Sradi,2905.4053098082654,6,6,True
2002,Annual,PPT,1964.8023943305393,12,12,True
2002,Annual,Temp,17.0654497400594,12,12,True
2002,Annual,Sradi,4921.373893289979,12,12,True
2002,Dry,PPT,466.50527294150794,6,6,True
2002,Dry,Temp,12.587840008043234,6,6,True
2002,Dry,Sradi,2047.5899069181132,6,6,True
2002,Wet,PPT,1425.981505763418,6,6,True
2002,Wet,Temp,21.618043242322962,6,6,True
2002,Wet,Sradi,2911.139520813678,6,6,True
2003,Annual,PPT,1473.594319503038,12,12,True
2003,Annual,Temp,17.233682784830734,12,12,True
2003,Annual,Sradi,5281.173361173203,12,12,True
2003,Dry,PPT,548.7760315850286,6,6,True
2003,Dry,Temp,11.865498539489945,6,6,True
2003,Dry,Sradi,2023.4832537244738,6,6,True
2003,Wet,PPT,1100.8184090278653,6,6,True
2003,Wet,Temp,22.414084392755253,6,6,True
2003,Wet,Sradi,3109.92830231696,6,6,True
2004,Annual,PPT,1553.8676617380083,12,12,True
2004,Annual,Temp,16.945247172968276,12,12,True
2004,Annual,Sradi,5327.415412982008,12,12,True
2004,Dry,PPT,345.1742210147217,6,6,True
2004,Dry,Temp,12.108779983831365,6,6,True
2004,Dry,Sradi,2182.4673892437577,6,6,True
2004,Wet,PPT,1196.003904759816,6,6,True
2004,Wet,Temp,21.780374288674334,6,6,True
2004,Wet,Sradi,3109.165622803288,6,6,True
2005,Annual,PPT,1653.7370552624113,12,12,True
2005,Annual,Temp,16.991181974006285,12,12,True
2005,Annual,Sradi,5084.173449993987,12,12,True
2005,Dry,PPT,417.8611360798015,6,6,True
2005,Dry,Temp,11.384779803635256,6,6,True
2005,Dry,Sradi,2108.6140583912247,6,6,True
2005,Wet,PPT,1191.2283624557451,6,6,True
2005,Wet,Temp,22.541912483621825,6,6,True
2005,Wet,Sradi,3104.2952004090557,6,6,True
2006,Annual,PPT,1619.7075183067948,12,12,True
2006,Annual,Temp,17.388725385372055,12,12,True
2006,Annual,Sradi,5198.911996181599,12,12,True
2006,Dry,PPT,401.9501542454504,6,6,True
2006,Dry,Temp,12.21576636783197,6,6,True
2006,Dry,Sradi,2026.5880232184602,6,6,True
2006,Wet,PPT,1192.1738815506837,6,6,True
2006,Wet,Temp,22.12946223172154,6,6,True
2006,Wet,Sradi,3129.0415018058775,6,6,True
2007,Annual,PPT,1502.3508977430604,12,12,True
2007,Annual,Temp,17.34465099547132,12,12,True
2007,Annual,Sradi,5295.267821577536,12,12,True
2007,Dry,PPT,437.113393221246,6,6,True
