"year","season","NDVI","PPT","Temp","Sradi"
2001,"Annual",0.599046218771711,1833.59927573777,17.2477427986575,4913.47184969182
2002,"Annual",0.614657679747115,1950.45122801165,17.4051983256459,4909.92877442533
2003,"Annual",0.603451561745889,1469.36620425448,17.5613358146349,5267.08049863245
2004,"Annual",0.600202032549934,1544.10579615883,17.2777238879905,5310.95288523279
2005,"Annual",0.60011294822557,1652.62601402868,17.3228147539711,5069.81001199509
2006,"Annual",0.612988748759077,1623.48277765023,17.7187010415783,5182.87614735349
2007,"Annual",0.619824879678939,1505.09958559048,17.6727060737924,5279.00133955953
2008,"Annual",0.614533670949859,1678.20442635448,17.0687353324438,5218.77272074141
2009,"Annual",0.620267168503739,1436.74081043215,17.7449005606632,5263.32625983762
2010,"Annual",0.616612127539459,1800.18456661549,17.4937074446213,5001.23921035152
2011,"Annual",0.625988163728027,1307.0567205016,16.8724609282842,5211.3991158877
2012,"Annual",0.638131112909805,1800.41832035592,17.0774832283154,4857.31307910532
2013,"Annual",0.640993728329168,1591.92910400384,17.5900114277686,5246.51472197151
2014,"Annual",0.642241505009731,1644.74534853898,17.5326396944795,5027.58030217232
2015,"Annual",0.655527589229951,1870.3772158561,17.6061889310571,4807.35449654947
2016,"Annual",0.661667161333943,1906.17604880423,17.6666055138821,4930.46303156266
2017,"Annual",0.666327506998121,1656.14805291402,17.6668144589942,4936.93171323528
2018,"Annual",0.662229583405614,1626.66900806893,17.5099196587436,5036.40289451365
2019,"Annual",0.663504243882766,1626.75041019733,17.9739166739962,5040.97706513652
2020,"Annual",0.665873249500437,1679.858976726,17.7587795916564,4936.96721964193
2021,"Annual",0.672032242392662,1560.86623854263,18.0358691468162,5080.44009836724
2022,"Annual",0.666599103463942,1649.59287105187,17.5815047251376,5020.86069066604
2023,"Annual",0.666436713918238,1524.72581080946,18.1454517609935,5115.1362528554
2024,"Annual",0.670433429534284,1856.64015834423,18.2271529500319,4972.70985548565
2025,"Annual",0.670308193795543,1699.35931798572,18.0325892997915,5121.35671169633
2001,"Dry",0.491758022548096,245.93911808617,11.3164045569034,1021.63419626304
2002,"Dry",0.551263472709428,459.384384566617,12.9726655254041,2043.66759615644
2003,"Dry",0.560716162531455,539.114543813583,12.2626008037286,2018.39312027741
2004,"Dry",0.537852516091273,340.057760851755,12.4968216746787,2177.15612760378
2005,"Dry",0.535333551441597,408.799324845445,11.8020587705862,2103.06577075258
2006,"Dry",0.555547105170863,396.289270847625,12.6196485227077,2022.65155810106
2007,"Dry",0.564696314599686,429.30714724928,13.3300940965833,2139.21263227484
2008,"Dry",0.55653518548803,378.154593403076,11.9476573166291,2183.92648509749
2009,"Dry",0.568036169524947,424.216421378291,13.0493907105761,2206.90893181196
2010,"Dry",0.560810208667329,423.619801876664,12.8678226085174,2144.31856546373
2011,"Dry",0.570543249694974,351.05447060512,11.2758361377685,2089.11062010874
2012,"Dry",0.583982393663648,472.114394243039,11.809049364086,1967.91603519354
2013,"Dry",0.594367047327843,472.335704326457,12.9002799459319,2070.48869344027
2014,"Dry",0.5927332010383,429.958094959139,12.1535865286025,2193.58705662989
2015,"Dry",0.601641737020928,388.59852963354,12.8396329646201,2091.61529260008
2016,"Dry",0.617772041205895,654.215694556276,12.2339514445212,1942.49219047842
2017,"Dry",0.630181294677664,512.476704880947,13.1357552575957,1927.67581766145
2018,"Dry",0.620257172307929,403.874956206171,12.4736933709368,2055.46264237437
2019,"Dry",0.630824527553578,551.913016376551,12.3850651971628,1849.67379755425
2020,"Dry",0.624885976764825,466.415886011091,13.5484925922188,2075.32935438691
2021,"Dry",0.627845052315577,331.969804382435,12.9178953558128,2078.85581808353
2022,"Dry",0.640338523542971,561.32393592271,12.2598361801936,1901.74136866434
2023,"Dry",0.616860744274184,371.192543157411,13.0859786404998,2116.17172163855
2024,"Dry",0.634200190348233,442.794878250053,13.2477365131308,2067.08664733162
2025,"Dry",0.622452006827856,329.298687555589,12.7858735909389,2126.79557664032
2001,"Wet",0.653961015574768,1360.23754887192,21.9434192813222,2896.59740578117
2002,"Wet",0.66882516103968,1420.8731391036,21.909717494742,2904.29939849189
2003,"Wet",0.65890748249945,1103.41782344958,22.6746357512924,3100.96801789365
2004,"Wet",0.658992079799678,1193.15582379469,22.0551772049528,3099.15009383427
2005,"Wet",0.658159339334441,1199.82380146251,22.7886915471319,3093.6643359924
2006,"Wet",0.665389792415864,1200.96666183621,22.3851837872457,3117.1738820457
2007,"Wet",0.675898241375259,1140.81989404303,22.2628998058204,3093.72535554711
2008,"Wet",0.667564871432172,1222.29600160482,22.3223981204017,3049.72163296053
2009,"Wet",0.67783505698038,1071.6176942913,22.5913538085041,3088.18299523448
2010,"Wet",0.663833764134772,1334.99552900373,22.1998211716399,2854.59757868479
2011,"Wet",0.674387829440334,951.3364036054,22.3793193455925,3149.22943176018
2012,"Wet",0.684490310303692,1271.35143878486,22.3809371686492,2932.59617074757
2013,"Wet",0.690095124849618,1171.18080786776,22.4872308291738,3056.25200575158
