"year","season","NDVI"
2001,"Annual",0.599046218771711
2002,"Annual",0.614657679747115
2003,"Annual",0.603451561745889
2004,"Annual",0.600202032549934
2005,"Annual",0.60011294822557
2006,"Annual",0.612988748759077
2007,"Annual",0.619824879678939
2008,"Annual",0.614533670949859
2009,"Annual",0.620267168503739
2010,"Annual",0.616612127539459
2011,"Annual",0.625988163728027
2012,"Annual",0.638131112909805
2013,"Annual",0.640993728329168
2014,"Annual",0.642241505009731
2015,"Annual",0.655527589229951
2016,"Annual",0.661667161333943
2017,"Annual",0.666327506998121
2018,"Annual",0.662229583405614
2019,"Annual",0.663504243882766
2020,"Annual",0.665873249500437
2021,"Annual",0.672032242392662
2022,"Annual",0.666599103463942
2023,"Annual",0.666436713918238
2024,"Annual",0.670433429534284
2025,"Annual",0.670308193795543
2001,"Dry",0.491758022548096
2002,"Dry",0.551263472709428
2003,"Dry",0.560716162531455
2004,"Dry",0.537852516091273
2005,"Dry",0.535333551441597
2006,"Dry",0.555547105170863
2007,"Dry",0.564696314599686
2008,"Dry",0.55653518548803
2009,"Dry",0.568036169524947
2010,"Dry",0.560810208667329
2011,"Dry",0.570543249694974
2012,"Dry",0.583982393663648
2013,"Dry",0.594367047327843
2014,"Dry",0.5927332010383
2015,"Dry",0.601641737020928
2016,"Dry",0.617772041205895
2017,"Dry",0.630181294677664
2018,"Dry",0.620257172307929
2019,"Dry",0.630824527553578
2020,"Dry",0.624885976764825
2021,"Dry",0.627845052315577
2022,"Dry",0.640338523542971
2023,"Dry",0.616860744274184
2024,"Dry",0.634200190348233
2025,"Dry",0.622452006827856
2001,"Wet",0.653961015574768
2002,"Wet",0.66882516103968
2003,"Wet",0.65890748249945
2004,"Wet",0.658992079799678
2005,"Wet",0.658159339334441
2006,"Wet",0.665389792415864
2007,"Wet",0.675898241375259
2008,"Wet",0.667564871432172
2009,"Wet",0.67783505698038
2010,"Wet",0.663833764134772
2011,"Wet",0.674387829440334
2012,"Wet",0.684490310303692
2013,"Wet",0.690095124849618
2014,"Wet",0.688659453387442
2015,"Wet",0.698130484010908
2016,"Wet",0.702073662201262
2017,"Wet",0.705672984560487
2018,"Wet",0.700890006195334
2019,"Wet",0.702338616140872
2020,"Wet",0.701697483250507
2021,"Wet",0.713343174355853
2022,"Wet",0.705439183106665
2023,"Wet",0.70296322210929
2024,"Wet",0.708462636092345
2025,"Wet",0.710487877163929
