"season","class_id","class_label","area_km2","percent"
"Annual",2,"Insignificant decreasing",84.1831966830082,0.00503505650507723
"Annual",3,"Insignificant increasing",5997.63677485838,0.358722895402194
"Annual",4,"0.000-0.020",89745.1318371217,5.36771977853296
"Annual",5,"0.020-0.030",378034.982035867,22.6105395191133
"Annual",6,"0.030-0.040",733946.295054587,43.897846754468
"Annual",7,"0.040-0.050",342783.024354904,20.5020950096158
"Annual",8,">0.050",121350.195627832,7.25804098636277
"Dry",2,"Insignificant decreasing",280.555837538023,0.0167802429759518
"Dry",3,"Insignificant increasing",7060.74564092621,0.422308188223234
"Dry",4,"0.000-0.030",124103.55828122,7.42272155309131
"Dry",5,"0.030-0.045",457564.750036054,27.3672711650316
"Dry",6,"0.045-0.060",705335.894899684,42.1866384957078
"Dry",7,"0.060-0.075",335239.273323327,20.0508979275277
"Dry",8,">0.075",42356.6708630979,2.53338242744236
"Wet",2,"Insignificant decreasing",2415.357280821,0.14446422644982
"Wet",3,"Insignificant increasing",40016.1106748645,2.39339186797644
"Wet",4,"0.000-0.015",92835.5390218243,5.55255921694584
"Wet",5,"0.015-0.025",738659.012848087,44.1797177372512
"Wet",6,"0.025-0.035",598229.097539044,35.7805052287651
"Wet",7,"0.035-0.045",145960.069944971,8.72997496668255
"Wet",8,">0.045",53826.2615721888,3.21938675592904
